[2010-10-12 21:41] Running 'pacman -Sy'
[2010-10-12 21:41] synchronizing package lists
[2010-10-12 21:41] Running 'pacman -S dosfstools'
[2010-10-12 21:41] installed dosfstools (3.0.10-1)
[2010-10-19 23:15] Running 'pacman -Syyyyyu'
[2010-10-19 23:15] synchronizing package lists
[2010-10-19 23:15] starting full system upgrade
[2010-10-19 23:35] upgraded libpng (1.4.3-1 -> 1.4.4-1)
[2010-10-19 23:35] upgraded allegro (4.4.1.1-1 -> 4.4.1.1-2)
[2010-10-19 23:35] upgraded tzdata (2010l-1 -> 2010m-1)
[2010-10-19 23:35] Generating locales...
[2010-10-19 23:35] en_US.UTF-8... done
[2010-10-19 23:35] en_US.ISO-8859-1... done
[2010-10-19 23:35] Generation complete.
[2010-10-19 23:35] upgraded glibc (2.12.1-1 -> 2.12.1-2)
[2010-10-19 23:35] upgraded alsa-lib (1.0.23-1 -> 1.0.23-2)
[2010-10-19 23:35] upgraded sqlite3 (3.7.2-1 -> 3.7.3-1)
[2010-10-19 23:35] upgraded glib2 (2.24.2-1 -> 2.26.0-2)
[2010-10-19 23:36] upgraded coreutils (8.5-2 -> 8.6-1)
[2010-10-19 23:36] warning: /etc/shadow installed as /etc/shadow.pacnew
[2010-10-19 23:36] upgraded filesystem (2010.07-1 -> 2010.09-1)
[2010-10-19 23:36] upgraded dbus-core (1.2.24-2 -> 1.4.0-1)
[2010-10-19 23:36] upgraded dbus (1.2.24-1 -> 1.4.0-1)
[2010-10-19 23:36] upgraded udev (162-1 -> 163-1)
[2010-10-19 23:36] upgraded xkeyboard-config (1.8-1 -> 2.0-1)
[2010-10-19 23:36] installed xorg-server-common (1.9.0-1)
[2010-10-19 23:36] upgraded xf86-input-evdev (2.4.0-2 -> 2.5.0-1)
[2010-10-19 23:36] upgraded xorg-server (1.8.1.902-1 -> 1.9.0-1)
[2010-10-19 23:36] upgraded nvidia-utils (256.53-1 -> 260.19.12-1)
[2010-10-19 23:36] upgraded qt (4.6.3-1 -> 4.7.0-4)
[2010-10-19 23:36] upgraded bzip2 (1.0.5-5 -> 1.0.6-1)
[2010-10-19 23:36] upgraded exiv2 (0.19-1 -> 0.20-1)
[2010-10-19 23:36] upgraded libxml2 (2.7.7-1 -> 2.7.7-2)
[2010-10-19 23:36] upgraded strigi (0.7.2-2 -> 0.7.2-3)
[2010-10-19 23:36] upgraded polkit (0.96-2 -> 0.98-1)
[2010-10-19 23:36] upgraded polkit-qt (0.95.1-1 -> 0.96.1-3)
[2010-10-19 23:36] upgraded phonon-gstreamer (4.4.2-1 -> 4.4.2-2)
[2010-10-19 23:36] upgraded phonon (4.4.2-1 -> 4.4.2-2)
[2010-10-19 23:36] upgraded libdbusmenu-qt (0.6.0-1 -> 0.6.4-1)
[2010-10-19 23:36] upgraded kdelibs (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:36] upgraded oxygen-icons (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:36] upgraded libssh (0.4.5-1 -> 0.4.6-1)
[2010-10-19 23:36] upgraded kdebase-runtime (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:36] upgraded libmysqlclient (5.1.50-1 -> 5.1.51-1)
[2010-10-19 23:36] upgraded mysql-clients (5.1.50-1 -> 5.1.51-1)
[2010-10-19 23:36] upgraded mysql (5.1.50-1 -> 5.1.51-1)
[2010-10-19 23:36] upgraded liblastfm (0.3.0-5 -> 0.3.3-1)
[2010-10-19 23:36] upgraded amarok (2.3.2-1 -> 2.3.2-2)
[2010-10-19 23:36] upgraded libldap (2.4.22-1 -> 2.4.23-1)
[2010-10-19 23:36] upgraded apr-util (1.3.9-4 -> 1.3.10-1)
[2010-10-19 23:36] installed python2 (2.7-2)
[2010-10-19 23:36] upgraded libxslt (1.1.26-1 -> 1.1.26-2)
[2010-10-19 23:36] upgraded docbook-xsl (1.75.2-1 -> 1.76.0-3)
[2010-10-19 23:36] upgraded asciidoc (8.6.1-1 -> 8.6.2-2)
[2010-10-19 23:36] upgraded atk (1.30.0-1 -> 1.32.0-1)
[2010-10-19 23:36] upgraded autoconf (2.67-1 -> 2.68-1)
[2010-10-19 23:36] upgraded avahi (0.6.27-2 -> 0.6.27-7)
[2010-10-19 23:36] upgraded bash-completion (1.2-1 -> 1.2-2)
[2010-10-19 23:36] upgraded binutils (2.20.1-3 -> 2.20.1-4)
[2010-10-19 23:36] upgraded bluez (4.71-1 -> 4.76-1)
[2010-10-19 23:36] upgraded boost-libs (1.43.0-1 -> 1.43.0-2)
[2010-10-19 23:36] upgraded boost (1.43.0-1 -> 1.43.0-2)
[2010-10-19 23:36] upgraded cairo (1.8.10-1 -> 1.10.0-2)
[2010-10-19 23:36] upgraded cddb-py (1.4-4 -> 1.4-5)
[2010-10-19 23:36] upgraded curl (7.21.1-1 -> 7.21.2-2)
[2010-10-19 23:37] upgraded cmake (2.8.2-2 -> 2.8.2-3)
[2010-10-19 23:37] upgraded conky (1.8.0-1 -> 1.8.1-1)
[2010-10-19 23:37] upgraded dbus-python (0.83.1-1 -> 0.83.1-2)
[2010-10-19 23:37] upgraded pyxdg (0.19-1 -> 0.19-2)
[2010-10-19 23:37] upgraded setuptools (0.6c11-2 -> 0.6c11-3)
[2010-10-19 23:37] upgraded libtorrent-rasterbar (0.15.2-1 -> 0.15.4-2)
[2010-10-19 23:37] upgraded pycrypto (2.1.0-1 -> 2.2-1)
[2010-10-19 23:37] upgraded zope-interface (3.5.3-1 -> 3.5.3-2)
[2010-10-19 23:37] upgraded twisted (10.0.0-1 -> 10.1.0-1)
[2010-10-19 23:37] upgraded pyopenssl (0.10-2 -> 0.10-3)
[2010-10-19 23:37] upgraded python-chardet (2.0.1-1 -> 2.0.1-2)
[2010-10-19 23:37] >>> Deluge's daemon is running default with the "deluge" user. The default download directory is /srv/deluge/.
[2010-10-19 23:37] You can change the user by editing /etc/conf.d/deluged
[2010-10-19 23:37] upgraded deluge (1.3.0-1 -> 1.3.0-2)
[2010-10-19 23:37] upgraded x264 (20100826-1 -> 20101013-1)
[2010-10-19 23:37] upgraded lirc-utils (0.8.6-4 -> 0.8.6-5)
[2010-10-19 23:37] upgraded mplayer (32227-1 -> 32492-1)
[2010-10-19 23:37] upgraded freetype2 (2.4.2-1 -> 2.4.3-1)
[2010-10-19 23:37] upgraded pango (1.28.1-1 -> 1.28.3-1)
[2010-10-19 23:37] installed gdk-pixbuf2 (2.22.0-2)
[2010-10-19 23:37] upgraded gtk2 (2.20.1-2 -> 2.22.0-5)
[2010-10-19 23:37] upgraded libglade (2.6.4-1 -> 2.6.4-2)
[2010-10-19 23:37] upgraded pycairo (1.8.10-1 -> 1.8.10-2)
[2010-10-19 23:37] installed gobject-introspection (0.9.10-2)
[2010-10-19 23:37] upgraded pygobject (2.21.3-1 -> 2.26.0-2)
[2010-10-19 23:37] upgraded pygtk (2.17.0-2 -> 2.22.0-3)
[2010-10-19 23:37] upgraded devede (3.16.9-1 -> 3.16.9-2)
[2010-10-19 23:37] upgraded device-mapper (2.02.73-1 -> 2.02.74-1)
[2010-10-19 23:37] upgraded dialog (1.1_20100428-1 -> 1.1_20100428-2)
[2010-10-19 23:37] upgraded kdegraphics-libs (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:37] upgraded kdepimlibs (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:37] upgraded gpsd (2.95-3 -> 2.95-4)
[2010-10-19 23:37] upgraded kdeedu-marble (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:37] upgraded digikam (1.4.0-1 -> 1.5.0-1)
[2010-10-19 23:37] upgraded ed (1.4-3 -> 1.5-1)
[2010-10-19 23:37] upgraded libva (1.0.4-1 -> 1.0.5-2)
[2010-10-19 23:37] upgraded ffmpeg (24953-1 -> 25472-1)
[2010-10-19 23:37] upgraded electricsheep (2.7b12-2 -> 2.7b12-3)
[2010-10-19 23:37] upgraded elfutils (0.148-1 -> 0.149-1)
[2010-10-19 23:37] upgraded exo (0.3.107-1 -> 0.3.107-2)
[2010-10-19 23:37] upgraded libnice (0.0.13-1 -> 0.0.13-3)
[2010-10-19 23:37] upgraded gstreamer0.10-python (0.10.18-1 -> 0.10.18-3)
[2010-10-19 23:37] upgraded farsight2 (0.0.21-1 -> 0.0.21-2)
[2010-10-19 23:37] upgraded feh (1.9-1 -> 1.10-1)
[2010-10-19 23:37] upgraded nss (3.12.7-1 -> 3.12.8-1)
[2010-10-19 23:37] upgraded libevent (1.4.14b-1 -> 1.4.14b-2)
[2010-10-19 23:37] upgraded xulrunner (1.9.2.10-1 -> 1.9.2.11-1)
[2010-10-19 23:37] upgraded firefox (3.6.10-1 -> 3.6.11-1)
[2010-10-19 23:37] upgraded flex (2.5.35-3 -> 2.5.35-4)
[2010-10-19 23:37] upgraded fluidsynth (1.1.1-2 -> 1.1.3-1)
[2010-10-19 23:37] upgraded frei0r-plugins (1.2-1 -> 1.2.1-1)
[2010-10-19 23:37] upgraded fuse (2.8.4-2 -> 2.8.5-1)
[2010-10-19 23:37] upgraded gamin (0.1.10-2 -> 0.1.10-3)
[2010-10-19 23:37] upgraded orbit2 (2.14.18-1 -> 2.14.19-1)
[2010-10-19 23:37] upgraded gconf (2.28.1-1 -> 2.32.0-1)
[2010-10-19 23:37] upgraded gdb (7.2-1 -> 7.2-2)
[2010-10-19 23:37] upgraded geany (0.19.1-1 -> 0.19.1-2)
[2010-10-19 23:37] upgraded geeqie (1.0-2 -> 1.0-3)
[2010-10-19 23:37] upgraded ghostscript (8.71-3 -> 9.00-1)
[2010-10-19 23:37] upgraded librsvg (2.26.3-1 -> 2.32.0-2)
[2010-10-19 23:37] upgraded gimp (2.6.10-1 -> 2.6.10-2)
[2010-10-19 23:37] upgraded git (1.7.3-1 -> 1.7.3.1-3)
[2010-10-19 23:37] upgraded mesa (7.8.2-1 -> 7.8.2-3)
[2010-10-19 23:37] upgraded glew (1.5.5-1 -> 1.5.6-1)
[2010-10-19 23:37] upgraded libgnome-keyring (2.30.1-2 -> 2.32.0-1)
[2010-10-19 23:37] upgraded libunique (1.1.6-2 -> 1.1.6-3)
[2010-10-19 23:37] upgraded gnome-disk-utility (2.30.1-1 -> 2.32.0-2)
[2010-10-19 23:37] upgraded gnome-icon-theme (2.30.3-1 -> 2.31.0-1)
[2010-10-19 23:37] upgraded gnome-vfs (2.24.3-2 -> 2.24.4-1)
[2010-10-19 23:37] upgraded grep (2.6.3-1 -> 2.7-1)
[2010-10-19 23:37] upgraded gstreamer0.10-ugly (0.10.15-4 -> 0.10.15-5)
[2010-10-19 23:37] upgraded gstreamer0.10-ugly-plugins (0.10.15-4 -> 0.10.15-5)
[2010-10-19 23:37] upgraded gtk-engines (2.20.1-1 -> 2.20.2-1)
[2010-10-19 23:37] upgraded rrdtool (1.4.4-1 -> 1.4.4-2)
[2010-10-19 23:37] upgraded lm_sensors (3.1.2-3 -> 3.2.0-1)
[2010-10-19 23:37] upgraded xorg-utils (7.6-3 -> 7.6-4)
[2010-10-19 23:38] warning: /usr/share/config/kdm/kdmrc installed as /usr/share/config/kdm/kdmrc.pacnew
[2010-10-19 23:38] upgraded kdebase-workspace (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded gtk-kde4 (0.9.4-1 -> 0.9.4-2)
[2010-10-19 23:38] upgraded libsoup (2.30.2-2 -> 2.32.0-1)
[2010-10-19 23:38] upgraded libproxy (0.4.6-1 -> 0.4.6-2)
[2010-10-19 23:38] upgraded libsoup-gnome (2.30.2-2 -> 2.32.0-1)
[2010-10-19 23:38] upgraded gvfs (1.6.3-1 -> 1.6.4-1)
[2010-10-19 23:38] upgraded hdparm (9.28-1 -> 9.32-1)
[2010-10-19 23:38] upgraded net-snmp (5.5-5 -> 5.5-6)
[2010-10-19 23:38]
[2010-10-19 23:38] NOTE
[2010-10-19 23:38] ----
[2010-10-19 23:38] # If you want to use this driver with sane:
[2010-10-19 23:38] # echo "hpaio" >> /etc/sane.d/dll.conf
[2010-10-19 23:38]
[2010-10-19 23:38]
[2010-10-19 23:38] UPGRADING
[2010-10-19 23:38] ----
[2010-10-19 23:38] # This version no longer uses an init script. You should remove hplip
[2010-10-19 23:38] # from the /etc/rc.conf daemon list.
[2010-10-19 23:38]
[2010-10-19 23:38] upgraded hplip (3.10.6-1 -> 3.10.9-1)
[2010-10-19 23:38] upgraded hydrogen (0.9.4.1-1 -> 0.9.4.2-1)
[2010-10-19 23:38] upgraded icu (4.4.1-1 -> 4.4.2-1)
[2010-10-19 23:38] upgraded libtool (2.2.10-3 -> 2.4-1)
[2010-10-19 23:38] upgraded imagemagick (6.6.4.3-1 -> 6.6.4.10-1)
[2010-10-19 23:38] upgraded iotop (0.4.1-1 -> 0.4.1-2)
[2010-10-19 23:38] upgraded musicbrainz (2.1.5-3 -> 2.1.5-4)
[2010-10-19 23:38] upgraded kdemultimedia-kioslave (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded k3b (2.0.1-2 -> 2.0.1-3)
[2010-10-19 23:38] upgraded kdeadmin-kcron (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeadmin-ksystemlog (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeadmin-kuser (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded sip (4.10.5-1 -> 4.11.1-2)
[2010-10-19 23:38] upgraded pyqt (4.7.4-2 -> 4.7.7-2)
[2010-10-19 23:38] upgraded qscintilla (2.4.4-2 -> 2.4.5-3)
[2010-10-19 23:38] upgraded kdebindings-python (4.5.1-1 -> 4.5.2-7)
[2010-10-19 23:38] upgraded pycups (1.9.51-1 -> 1.9.51-2)
[2010-10-19 23:38] upgraded pysmbc (1.0.8-1 -> 1.0.9-1)
[2010-10-19 23:38] upgraded system-config-printer-common (1.2.4-1 -> 1.2.5-3)
[2010-10-19 23:38] upgraded kdeadmin-system-config-printer-kde (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-colorschemes (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-desktopthemes (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-emoticons (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-iconthemes (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-kscreensaver (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-sounds (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-styles (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-wallpapers (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeartwork-weatherwallpapers (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdebase-lib (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdebase-dolphin (4.5.1-1 -> 4.5.2-1)
